"Latest: Time (s)","Latest: Force (N)","Latest: Force 4 (N)","Latest: Force 2 (N)","Latest: Force 3 (N)","Latest: Total Force (N)"
212,713.06,406.59,282.05,338.22,1739.92
214,713.06,407.81,282.05,337,1739.92
216,711.84,407.81,282.05,338.22,1739.92
218,713.06,405.37,283.27,339.44,1741.14
220,711.84,406.59,283.27,337,1738.7
222,715.51,406.59,283.27,337,1742.37
224,714.29,406.59,283.27,338.22,1742.37
226,713.06,409.04,282.05,337,1741.15
228,713.06,406.59,282.05,338.22,1739.92
230,713.06,407.81,282.05,338.22,1741.14
232,713.06,407.81,283.27,338.22,1742.36
234,713.06,407.81,282.05,338.22,1741.14
236,713.06,407.81,282.05,338.22,1741.14
238,711.84,409.04,283.27,338.22,1742.37
240,713.06,409.04,282.05,338.22,1742.37
242,711.84,409.04,282.05,337,1739.93
244,711.84,407.81,283.27,338.22,1741.14
246,713.06,407.81,283.27,337,1741.14
248,711.84,409.04,283.27,335.78,1739.93
250,710.62,409.04,283.27,335.78,1738.71
252,713.06,409.04,283.27,337,1742.37
254,711.84,409.04,284.49,335.78,1741.15
256,711.84,409.04,282.05,337,1739.93
258,713.06,406.59,282.05,337,1738.7
260,714.29,406.59,283.27,337,1741.15
262,713.06,407.81,283.27,338.22,1742.36
264,713.06,407.81,283.27,338.22,1742.36
266,713.06,407.81,282.05,338.22,1741.14
268,713.06,409.04,283.27,338.22,1743.59
270,711.84,407.81,283.27,338.22,1741.14
272,710.62,407.81,283.27,337,1738.7
274,711.84,407.81,283.27,338.22,1741.14
276,711.84,409.04,283.27,338.22,1742.37
278,711.84,407.81,283.27,338.22,1741.14
280,711.84,407.81,282.05,338.22,1739.92
282,711.84,409.04,283.27,337,1741.15
284,713.06,409.04,284.49,337,1743.59
286,711.84,407.81,283.27,338.22,1741.14
288,713.06,407.81,283.27,338.22,1742.36
290,710.62,407.81,283.27,338.22,1739.92
292,711.84,407.81,282.05,337,1738.7
294,713.06,406.59,282.05,338.22,1739.92
296,713.06,406.59,282.05,338.22,1739.92
298,713.06,406.59,283.27,339.44,1742.36
300,713.06,406.59,282.05,338.22,1739.92
302,714.29,406.59,282.05,338.22,1741.15
304,713.06,407.81,282.05,338.22,1741.14
306,713.06,406.59,282.05,339.44,1741.14
308,713.06,405.37,283.27,338.22,1739.92
310,713.06,406.59,282.05,338.22,1739.92
312,714.29,406.59,283.27,339.44,1743.59
314,713.06,405.37,282.05,338.22,1738.7
316,714.29,405.37,282.05,338.22,1739.93
318,714.29,406.59,282.05,338.22,1741.15
320,714.29,406.59,282.05,338.22,1741.15
322,714.29,406.59,282.05,338.22,1741.15
324,713.06,405.37,282.05,338.22,1738.7
326,714.29,405.37,282.05,338.22,1739.93
328,713.06,406.59,282.05,338.22,1739.92
330,714.29,405.37,282.05,338.22,1739.93
332,714.29,406.59,282.05,338.22,1741.15
334,713.06,405.37,282.05,338.22,1738.7
336,714.29,406.59,282.05,338.22,1741.15
338,714.29,406.59,283.27,338.22,1742.37
340,713.06,405.37,282.05,338.22,1738.7
342,714.29,406.59,282.05,338.22,1741.15
344,714.29,405.37,282.05,338.22,1739.93
346,714.29,406.59,282.05,338.22,1741.15
348,714.29,405.37,283.27,339.44,1742.37
350,713.06,406.59,283.27,338.22,1741.14
352,713.06,406.59,282.05,338.22,1739.92
354,714.29,406.59,282.05,338.22,1741.15
356,713.06,406.59,283.27,339.44,1742.36
358,714.29,406.59,282.05,338.22,1741.15
360,713.06,406.59,282.05,338.22,1739.92
362,714.29,406.59,282.05,338.22,1741.15
364,714.29,406.59,283.27,338.22,1742.37
366,714.29,406.59,282.05,338.22,1741.15
368,713.06,406.59,282.05,339.44,1741.14
370,714.29,407.81,282.05,338.22,1742.37
372,714.29,406.59,282.05,339.44,1742.37
374,714.29,406.59,282.05,339.44,1742.37
376,714.29,406.59,282.05,339.44,1742.37
378,713.06,407.81,282.05,339.44,1742.36
380,714.29,406.59,282.05,338.22,1741.15
382,714.29,406.59,283.27,339.44,1743.59
384,714.29,406.59,282.05,339.44,1742.37
386,714.29,406.59,282.05,338.22,1741.15
388,714.29,406.59,282.05,338.22,1741.15
390,713.06,406.59,282.05,339.44,1741.14
392,713.06,406.59,283.27,339.44,1742.36
394,714.29,406.59,282.05,338.22,1741.15
396,713.06,406.59,283.27,338.22,1741.14
398,714.29,406.59,282.05,338.22,1741.15
400,713.06,406.59,282.05,338.22,1739.92
402,713.06,406.59,282.05,339.44,1741.14
404,714.29,406.59,282.05,339.44,1742.37
406,714.29,406.59,282.05,339.44,1742.37
408,713.06,406.59,282.05,338.22,1739.92
410,713.06,406.59,282.05,338.22,1739.92
412,714.29,406.59,282.05,338.22,1741.15
414,714.29,406.59,282.05,339.44,1742.37
416,714.29,406.59,280.83,338.22,1739.93
418,714.29,406.59,282.05,338.22,1741.15
420,713.06,406.59,283.27,339.44,1742.36
422,713.06,406.59,282.05,338.22,1739.92
424,714.29,406.59,282.05,338.22,1741.15
426,713.06,406.59,282.05,338.22,1739.92
428,714.29,406.59,282.05,338.22,1741.15
430,713.06,406.59,282.05,338.22,1739.92
432,713.06,406.59,282.05,338.22,1739.92
434,714.29,406.59,282.05,339.44,1742.37
436,714.29,406.59,282.05,338.22,1741.15
438,714.29,406.59,282.05,338.22,1741.15
440,714.29,406.59,282.05,338.22,1741.15
442,714.29,406.59,282.05,338.22,1741.15
444,713.06,407.81,282.05,338.22,1741.14
446,714.29,406.59,280.83,338.22,1739.93
448,713.06,406.59,282.05,339.44,1741.14
450,714.29,406.59,282.05,338.22,1741.15
452,714.29,406.59,280.83,338.22,1739.93
454,714.29,406.59,282.05,338.22,1741.15
456,714.29,406.59,282.05,338.22,1741.15
458,714.29,406.59,282.05,338.22,1741.15
460,713.06,406.59,282.05,338.22,1739.92
462,714.29,405.37,282.05,338.22,1739.93
464,713.06,406.59,282.05,338.22,1739.92
466,714.29,406.59,282.05,338.22,1741.15
468,714.29,406.59,283.27,338.22,1742.37
470,714.29,406.59,282.05,338.22,1741.15
472,713.06,406.59,282.05,338.22,1739.92
474,714.29,406.59,282.05,338.22,1741.15
476,713.06,406.59,283.27,338.22,1741.14
478,713.06,406.59,283.27,338.22,1741.14
480,714.29,406.59,284.49,337,1742.37
482,713.06,406.59,283.27,338.22,1741.14
484,715.51,406.59,283.27,338.22,1743.59
486,713.06,406.59,283.27,338.22,1741.14
488,711.84,407.81,283.27,338.22,1741.14
490,713.06,409.04,283.27,338.22,1743.59
492,711.84,409.04,283.27,337,1741.15
494,711.84,410.26,283.27,338.22,1743.59
496,711.84,409.04,283.27,337,1741.15
498,713.06,407.81,282.05,338.22,1741.14
500,711.84,407.81,282.05,338.22,1739.92
502,710.62,410.26,284.49,337,1742.37
504,713.06,407.81,283.27,338.22,1742.36
506,714.29,406.59,283.27,338.22,1742.37
508,711.84,406.59,282.05,338.22,1738.7
510,711.84,406.59,283.27,338.22,1739.92
512,713.06,406.59,283.27,338.22,1741.14
514,713.06,407.81,283.27,338.22,1742.36
516,713.06,409.04,283.27,338.22,1743.59
518,713.06,406.59,282.05,339.44,1741.14
520,711.84,407.81,282.05,338.22,1739.92
522,711.84,409.04,282.05,338.22,1741.15
524,711.84,409.04,282.05,338.22,1741.15
526,711.84,407.81,282.05,338.22,1739.92
528,711.84,407.81,282.05,339.44,1741.14
530,711.84,409.04,283.27,339.44,1743.59
532,711.84,409.04,282.05,338.22,1741.15
534,711.84,409.04,282.05,338.22,1741.15
536,711.84,409.04,282.05,339.44,1742.37
538,713.06,409.04,282.05,338.22,1742.37
540,711.84,409.04,282.05,338.22,1741.15
542,713.06,407.81,282.05,339.44,1742.36
544,711.84,407.81,283.27,339.44,1742.36
546,711.84,409.04,282.05,339.44,1742.37
548,711.84,409.04,282.05,339.44,1742.37
550,711.84,409.04,282.05,339.44,1742.37
552,710.62,407.81,282.05,338.22,1738.7
554,711.84,407.81,280.83,339.44,1739.92
556,711.84,407.81,282.05,339.44,1741.14
558,713.06,407.81,282.05,339.44,1742.36
560,713.06,409.04,282.05,339.44,1743.59
562,713.06,406.59,282.05,340.66,1742.36
564,711.84,409.04,282.05,339.44,1742.37
566,711.84,409.04,282.05,338.22,1741.15
568,711.84,409.04,282.05,338.22,1741.15
570,714.29,406.59,282.05,338.22,1741.15
572,714.29,406.59,282.05,339.44,1742.37
574,713.06,406.59,284.49,338.22,1742.36
576,713.06,407.81,283.27,338.22,1742.36
578,714.29,406.59,282.05,338.22,1741.15
580,714.29,406.59,282.05,338.22,1741.15
582,711.84,409.04,282.05,338.22,1741.15
584,711.84,407.81,282.05,338.22,1739.92
586,711.84,407.81,283.27,338.22,1741.14
588,711.84,409.04,282.05,338.22,1741.15
590,710.62,409.04,282.05,338.22,1739.93
592,711.84,409.04,282.05,338.22,1741.15
594,711.84,407.81,283.27,339.44,1742.36
596,713.06,407.81,282.05,337,1739.92
598,711.84,409.04,282.05,338.22,1741.15
600,711.84,407.81,283.27,338.22,1741.14
602,713.06,407.81,282.05,338.22,1741.14
604,711.84,407.81,282.05,338.22,1739.92
606,711.84,407.81,282.05,338.22,1739.92
608,711.84,407.81,282.05,338.22,1739.92
610,711.84,407.81,282.05,338.22,1739.92
612,711.84,407.81,282.05,338.22,1739.92
614,713.06,407.81,283.27,338.22,1742.36
616,711.84,407.81,282.05,338.22,1739.92
618,714.29,405.37,282.05,338.22,1739.93
620,713.06,406.59,280.83,338.22,1738.7
622,714.29,406.59,282.05,338.22,1741.15
624,713.06,406.59,282.05,339.44,1741.14
626,711.84,406.59,282.05,338.22,1738.7
628,714.29,407.81,282.05,338.22,1742.37
630,713.06,406.59,282.05,338.22,1739.92
632,714.29,406.59,282.05,338.22,1741.15
634,714.29,406.59,282.05,338.22,1741.15
636,714.29,407.81,282.05,338.22,1742.37
638,713.06,406.59,282.05,338.22,1739.92
640,714.29,406.59,282.05,338.22,1741.15
642,714.29,406.59,282.05,339.44,1742.37
644,713.06,406.59,282.05,338.22,1739.92
646,713.06,406.59,283.27,338.22,1741.14
648,713.06,405.37,283.27,339.44,1741.14
650,714.29,406.59,282.05,338.22,1741.15
652,714.29,406.59,282.05,339.44,1742.37
654,714.29,406.59,282.05,338.22,1741.15
656,713.06,407.81,282.05,338.22,1741.14
658,713.06,407.81,282.05,337,1739.92
660,713.06,406.59,282.05,338.22,1739.92
662,716.73,406.59,282.05,338.22,1743.59
664,713.06,406.59,283.27,335.78,1738.7
666,714.29,407.81,282.05,338.22,1742.37
668,713.06,406.59,282.05,339.44,1741.14
670,711.84,407.81,282.05,338.22,1739.92
672,714.29,406.59,282.05,338.22,1741.15
674,713.06,407.81,282.05,338.22,1741.14
676,711.84,407.81,282.05,338.22,1739.92
678,713.06,407.81,282.05,338.22,1741.14
680,713.06,407.81,282.05,338.22,1741.14
682,713.06,406.59,282.05,339.44,1741.14
684,714.29,406.59,282.05,338.22,1741.15
686,714.29,407.81,282.05,338.22,1742.37
688,713.06,405.37,283.27,339.44,1741.14
690,714.29,406.59,282.05,338.22,1741.15
692,714.29,406.59,282.05,338.22,1741.15
694,714.29,406.59,282.05,339.44,1742.37
696,714.29,406.59,282.05,338.22,1741.15
698,714.29,406.59,282.05,338.22,1741.15
700,714.29,406.59,280.83,338.22,1739.93
702,714.29,406.59,282.05,338.22,1741.15
704,713.06,407.81,282.05,339.44,1742.36
706,713.06,405.37,282.05,338.22,1738.7
708,714.29,407.81,282.05,338.22,1742.37
710,713.06,407.81,283.27,339.44,1743.58
712,714.29,409.04,283.27,338.22,1744.82
714,714.29,407.81,283.27,338.22,1743.59
716,714.29,406.59,283.27,338.22,1742.37
718,713.06,407.81,283.27,338.22,1742.36
720,713.06,407.81,283.27,338.22,1742.36
722,713.06,406.59,282.05,338.22,1739.92
724,713.06,407.81,282.05,338.22,1741.14
726,713.06,407.81,283.27,338.22,1742.36
728,711.84,407.81,283.27,337,1739.92
730,711.84,407.81,282.05,338.22,1739.92
732,711.84,409.04,283.27,335.78,1739.93
734,711.84,407.81,282.05,337,1738.7
736,711.84,407.81,284.49,337,1741.14
738,713.06,406.59,282.05,339.44,1741.14
740,713.06,407.81,283.27,338.22,1742.36
742,714.29,406.59,282.05,339.44,1742.37
744,714.29,407.81,282.05,338.22,1742.37
746,713.06,406.59,282.05,338.22,1739.92
748,713.06,406.59,282.05,338.22,1739.92
750,713.06,407.81,282.05,339.44,1742.36
752,714.29,406.59,282.05,338.22,1741.15
754,713.06,406.59,282.05,338.22,1739.92
756,713.06,406.59,282.05,338.22,1739.92
758,714.29,407.81,282.05,338.22,1742.37
760,714.29,406.59,282.05,339.44,1742.37
762,713.06,406.59,282.05,338.22,1739.92
764,713.06,409.04,282.05,338.22,1742.37
766,711.84,407.81,283.27,338.22,1741.14
768,713.06,407.81,283.27,338.22,1742.36
770,713.06,407.81,282.05,337,1739.92
772,711.84,407.81,283.27,338.22,1741.14
774,714.29,405.37,282.05,339.44,1741.15
776,714.29,406.59,282.05,338.22,1741.15
778,714.29,405.37,282.05,338.22,1739.93
780,714.29,406.59,282.05,339.44,1742.37
782,713.06,406.59,282.05,338.22,1739.92
784,714.29,406.59,282.05,339.44,1742.37
786,714.29,406.59,282.05,338.22,1741.15
788,714.29,406.59,282.05,338.22,1741.15
790,714.29,405.37,282.05,338.22,1739.93
792,714.29,405.37,282.05,338.22,1739.93
794,714.29,406.59,282.05,339.44,1742.37
796,713.06,407.81,283.27,338.22,1742.36
798,713.06,407.81,282.05,338.22,1741.14
800,713.06,407.81,282.05,338.22,1741.14
802,713.06,407.81,282.05,338.22,1741.14
804,713.06,407.81,283.27,338.22,1742.36
806,714.29,406.59,282.05,338.22,1741.15
808,713.06,406.59,282.05,338.22,1739.92
810,714.29,406.59,283.27,338.22,1742.37
812,714.29,406.59,282.05,338.22,1741.15
814,713.06,406.59,282.05,338.22,1739.92
816,714.29,406.59,282.05,338.22,1741.15
818,714.29,406.59,282.05,338.22,1741.15
820,714.29,406.59,282.05,339.44,1742.37
822,714.29,406.59,282.05,338.22,1741.15
824,714.29,406.59,282.05,338.22,1741.15
826,713.06,406.59,282.05,338.22,1739.92
828,714.29,405.37,282.05,338.22,1739.93
830,714.29,405.37,282.05,338.22,1739.93
832,713.06,406.59,282.05,338.22,1739.92
834,713.06,406.59,282.05,338.22,1739.92
836,713.06,406.59,282.05,338.22,1739.92
838,713.06,406.59,282.05,338.22,1739.92
840,713.06,406.59,282.05,338.22,1739.92
842,713.06,406.59,283.27,338.22,1741.14
844,713.06,407.81,283.27,338.22,1742.36
846,713.06,407.81,283.27,338.22,1742.36
848,714.29,407.81,283.27,338.22,1743.59
850,713.06,407.81,282.05,338.22,1741.14
852,713.06,406.59,282.05,338.22,1739.92
854,711.84,406.59,283.27,338.22,1739.92
856,713.06,407.81,283.27,338.22,1742.36
858,714.29,406.59,283.27,338.22,1742.37
860,713.06,406.59,283.27,338.22,1741.14
862,713.06,406.59,282.05,338.22,1739.92
864,713.06,406.59,282.05,338.22,1739.92
866,713.06,406.59,283.27,338.22,1741.14
868,713.06,406.59,283.27,338.22,1741.14
870,711.84,407.81,283.27,338.22,1741.14
872,711.84,406.59,283.27,338.22,1739.92
874,713.06,406.59,282.05,338.22,1739.92
876,713.06,406.59,282.05,337,1738.7
878,714.29,407.81,282.05,337,1741.15
880,713.06,407.81,282.05,338.22,1741.14
882,713.06,407.81,282.05,338.22,1741.14
884,713.06,407.81,283.27,338.22,1742.36
886,713.06,407.81,282.05,338.22,1741.14
888,714.29,407.81,282.05,338.22,1742.37
890,713.06,407.81,283.27,338.22,1742.36
892,713.06,407.81,282.05,338.22,1741.14
894,713.06,406.59,283.27,337,1739.92
896,714.29,407.81,282.05,338.22,1742.37
898,711.84,407.81,282.05,338.22,1739.92
900,713.06,407.81,282.05,338.22,1741.14
902,713.06,407.81,282.05,338.22,1741.14
904,714.29,409.04,282.05,339.44,1744.82
906,713.06,406.59,282.05,338.22,1739.92
908,714.29,406.59,282.05,338.22,1741.15
910,713.06,406.59,282.05,338.22,1739.92
912,714.29,406.59,282.05,338.22,1741.15
914,714.29,406.59,283.27,338.22,1742.37
916,714.29,406.59,283.27,337,1741.15
918,713.06,407.81,283.27,338.22,1742.36
920,713.06,406.59,282.05,338.22,1739.92
922,714.29,406.59,282.05,338.22,1741.15
924,713.06,407.81,282.05,338.22,1741.14
926,713.06,407.81,283.27,338.22,1742.36
928,714.29,407.81,283.27,338.22,1743.59
930,713.06,407.81,282.05,337,1739.92
932,711.84,409.04,283.27,337,1741.15
934,713.06,409.04,283.27,337,1742.37
936,711.84,407.81,283.27,338.22,1741.14
938,711.84,409.04,282.05,338.22,1741.15
940,713.06,409.04,283.27,338.22,1743.59
942,710.62,409.04,283.27,338.22,1741.15
944,711.84,409.04,283.27,338.22,1742.37
946,711.84,407.81,283.27,338.22,1741.14
948,713.06,407.81,283.27,337,1741.14
950,711.84,407.81,283.27,337,1739.92
952,711.84,409.04,282.05,337,1739.93
954,711.84,407.81,282.05,338.22,1739.92
956,711.84,407.81,283.27,337,1739.92
958,711.84,407.81,282.05,338.22,1739.92
960,711.84,407.81,282.05,338.22,1739.92
962,713.06,407.81,283.27,338.22,1742.36
964,711.84,407.81,283.27,337,1739.92
966,711.84,409.04,282.05,337,1739.93
968,711.84,407.81,283.27,337,1739.92
970,713.06,407.81,283.27,338.22,1742.36
972,713.06,407.81,282.05,338.22,1741.14
974,711.84,407.81,282.05,338.22,1739.92
976,713.06,407.81,282.05,338.22,1741.14
978,713.06,407.81,282.05,338.22,1741.14
980,713.06,407.81,282.05,338.22,1741.14
982,713.06,407.81,282.05,338.22,1741.14
984,713.06,407.81,282.05,338.22,1741.14
986,713.06,407.81,282.05,338.22,1741.14
988,713.06,407.81,282.05,338.22,1741.14
990,711.84,407.81,282.05,338.22,1739.92
992,711.84,407.81,280.83,337,1737.48
994,713.06,409.04,282.05,338.22,1742.37
996,713.06,407.81,282.05,338.22,1741.14
998,711.84,407.81,282.05,338.22,1739.92
1000,711.84,409.04,282.05,337,1739.93
1002,711.84,406.59,282.05,338.22,1738.7
1004,713.06,409.04,283.27,338.22,1743.59
1006,713.06,407.81,282.05,337,1739.92
1008,711.84,407.81,282.05,338.22,1739.92
1010,711.84,407.81,282.05,337,1738.7
1012,714.29,407.81,283.27,337,1742.37
1014,713.06,407.81,282.05,337,1739.92
1016,713.06,407.81,282.05,337,1739.92
1018,713.06,407.81,282.05,337,1739.92
1020,714.29,406.59,282.05,338.22,1741.15
1022,711.84,406.59,282.05,338.22,1738.7
1024,713.06,406.59,282.05,337,1738.7
1026,713.06,407.81,282.05,338.22,1741.14
1028,711.84,407.81,283.27,338.22,1741.14
1030,711.84,406.59,282.05,338.22,1738.7
1032,710.62,407.81,282.05,338.22,1738.7
1034,711.84,409.04,283.27,337,1741.15
1036,710.62,409.04,283.27,337,1739.93
1038,711.84,407.81,283.27,337,1739.92
1040,711.84,409.04,282.05,337,1739.93
1042,711.84,409.04,283.27,338.22,1742.37
1044,711.84,409.04,282.05,337,1739.93
1046,711.84,409.04,282.05,337,1739.93
1048,711.84,409.04,283.27,337,1741.15
1050,711.84,409.04,282.05,337,1739.93
1052,711.84,407.81,283.27,335.78,1738.7
1054,710.62,409.04,282.05,337,1738.71
1056,711.84,409.04,283.27,338.22,1742.37
1058,711.84,410.26,282.05,337,1741.15
1060,711.84,409.04,283.27,337,1741.15
1062,711.84,410.26,282.05,337,1741.15
1064,711.84,407.81,283.27,337,1739.92
1066,710.62,409.04,282.05,335.78,1737.49
1068,711.84,409.04,282.05,337,1739.93
1070,711.84,407.81,282.05,337,1738.7
1072,711.84,407.81,282.05,337,1738.7
1074,711.84,407.81,280.83,338.22,1738.7
1076,711.84,407.81,282.05,337,1738.7
1078,713.06,407.81,282.05,338.22,1741.14
1080,713.06,407.81,282.05,338.22,1741.14
1082,713.06,407.81,282.05,337,1739.92
1084,713.06,407.81,282.05,338.22,1741.14
1086,711.84,409.04,282.05,338.22,1741.15
1088,711.84,407.81,282.05,337,1738.7
1090,713.06,406.59,282.05,338.22,1739.92
1092,711.84,407.81,282.05,338.22,1739.92
1094,713.06,407.81,282.05,338.22,1741.14
1096,711.84,406.59,283.27,338.22,1739.92
1098,711.84,407.81,282.05,337,1738.7
1100,711.84,407.81,282.05,338.22,1739.92
1102,714.29,405.37,282.05,338.22,1739.93
1104,713.06,406.59,283.27,337,1739.92
1106,711.84,407.81,282.05,338.22,1739.92
1108,711.84,407.81,282.05,338.22,1739.92
1110,711.84,407.81,282.05,338.22,1739.92
1112,713.06,407.81,282.05,338.22,1741.14
1114,713.06,406.59,283.27,338.22,1741.14
1116,711.84,407.81,282.05,339.44,1741.14
1118,713.06,406.59,283.27,339.44,1742.36
1120,710.62,409.04,283.27,338.22,1741.15
1122,711.84,407.81,283.27,339.44,1742.36
1124,714.29,406.59,283.27,339.44,1743.59
1126,711.84,407.81,282.05,338.22,1739.92
1128,713.06,407.81,282.05,339.44,1742.36
1130,711.84,407.81,282.05,339.44,1741.14
1132,711.84,409.04,283.27,338.22,1742.37
1134,711.84,407.81,282.05,338.22,1739.92
1136,713.06,406.59,283.27,339.44,1742.36
1138,711.84,407.81,283.27,338.22,1741.14
1140,713.06,407.81,283.27,337,1741.14
1142,713.06,405.37,282.05,339.44,1739.92
1144,713.06,406.59,282.05,338.22,1739.92
1146,714.29,405.37,282.05,338.22,1739.93
1148,713.06,406.59,282.05,338.22,1739.92
1150,714.29,407.81,282.05,338.22,1742.37
1152,714.29,406.59,282.05,338.22,1741.15
1154,713.06,406.59,282.05,338.22,1739.92
1156,713.06,407.81,283.27,338.22,1742.36
1158,713.06,406.59,282.05,338.22,1739.92
1160,713.06,407.81,282.05,338.22,1741.14
1162,713.06,407.81,282.05,338.22,1741.14
1164,713.06,407.81,283.27,338.22,1742.36
1166,713.06,406.59,282.05,338.22,1739.92
1168,714.29,405.37,282.05,339.44,1741.15
1170,713.06,406.59,283.27,338.22,1741.14
1172,714.29,407.81,283.27,338.22,1743.59
1174,713.06,407.81,283.27,338.22,1742.36
1176,713.06,406.59,282.05,338.22,1739.92
1178,713.06,406.59,282.05,337,1738.7
1180,713.06,407.81,283.27,338.22,1742.36
1182,713.06,407.81,282.05,338.22,1741.14
1184,714.29,406.59,282.05,338.22,1741.15
1186,713.06,406.59,282.05,338.22,1739.92
1188,714.29,406.59,283.27,339.44,1743.59
1190,711.84,406.59,283.27,338.22,1739.92
1192,713.06,405.37,283.27,338.22,1739.92
1194,714.29,406.59,283.27,338.22,1742.37
1196,714.29,406.59,282.05,338.22,1741.15
1198,715.51,406.59,283.27,338.22,1743.59
1200,714.29,405.37,283.27,338.22,1741.15
1202,715.51,406.59,283.27,338.22,1743.59
1204,713.06,406.59,282.05,338.22,1739.92
1206,713.06,409.04,283.27,337,1742.37
1208,713.06,406.59,283.27,337,1739.92
