"Latest: Time (s)","Latest: Force 1 (N)","Latest: Force 2 (N)","Latest: Force 3 (N)","Latest: Force 4 (N)","Latest: Total Force (N)"
119,293.04,716.73,318.68,402.93,1731.38
120,291.82,716.73,318.68,402.93,1730.16
121,291.82,717.95,318.68,402.93,1731.38
122,291.82,716.73,318.68,402.93,1730.16
123,291.82,717.95,318.68,402.93,1731.38
124,291.82,717.95,318.68,402.93,1731.38
125,291.82,717.95,319.9,402.93,1732.6
126,291.82,717.95,319.9,402.93,1732.6
127,291.82,716.73,319.9,401.71,1730.16
128,291.82,717.95,319.9,402.93,1732.6
129,291.82,717.95,318.68,402.93,1731.38
130,291.82,717.95,319.9,402.93,1732.6
131,291.82,716.73,319.9,402.93,1731.38
132,291.82,717.95,318.68,402.93,1731.38
133,291.82,717.95,318.68,402.93,1731.38
134,291.82,716.73,319.9,402.93,1731.38
135,291.82,716.73,319.9,402.93,1731.38
136,291.82,716.73,318.68,402.93,1730.16
137,291.82,717.95,318.68,402.93,1731.38
138,291.82,717.95,319.9,402.93,1732.6
139,291.82,717.95,319.9,402.93,1732.6
140,291.82,717.95,319.9,402.93,1732.6
141,291.82,717.95,319.9,402.93,1732.6
142,291.82,719.17,319.9,402.93,1733.82
143,291.82,719.17,319.9,401.71,1732.6
144,291.82,717.95,319.9,402.93,1732.6
145,291.82,717.95,318.68,402.93,1731.38
146,291.82,719.17,318.68,401.71,1731.38
147,291.82,717.95,318.68,401.71,1730.16
148,291.82,717.95,319.9,401.71,1731.38
149,291.82,717.95,318.68,402.93,1731.38
150,291.82,717.95,318.68,402.93,1731.38
151,291.82,719.17,319.9,401.71,1732.6
152,291.82,717.95,319.9,402.93,1732.6
153,291.82,717.95,319.9,401.71,1731.38
154,291.82,717.95,319.9,402.93,1732.6
155,291.82,717.95,319.9,402.93,1732.6
156,291.82,717.95,318.68,402.93,1731.38
157,291.82,717.95,318.68,404.15,1732.6
158,291.82,717.95,318.68,402.93,1731.38
159,291.82,717.95,318.68,402.93,1731.38
160,290.6,716.73,318.68,402.93,1728.94
161,291.82,716.73,318.68,402.93,1730.16
162,291.82,717.95,318.68,402.93,1731.38
163,291.82,717.95,318.68,402.93,1731.38
164,291.82,717.95,318.68,401.71,1730.16
165,291.82,719.17,318.68,401.71,1731.38
166,291.82,717.95,318.68,402.93,1731.38
167,291.82,717.95,319.9,402.93,1732.6
168,290.6,717.95,318.68,402.93,1730.16
169,291.82,717.95,318.68,402.93,1731.38
170,291.82,717.95,318.68,401.71,1730.16
171,291.82,717.95,318.68,401.71,1730.16
172,291.82,717.95,319.9,402.93,1732.6
173,291.82,717.95,319.9,402.93,1732.6
174,291.82,717.95,319.9,401.71,1731.38
175,290.6,717.95,319.9,401.71,1730.16
176,291.82,717.95,318.68,401.71,1730.16
177,290.6,717.95,318.68,401.71,1728.94
178,291.82,717.95,319.9,401.71,1731.38
179,291.82,717.95,319.9,402.93,1732.6
180,291.82,717.95,318.68,402.93,1731.38
181,291.82,717.95,318.68,402.93,1731.38
182,291.82,716.73,318.68,402.93,1730.16
183,291.82,716.73,318.68,402.93,1730.16
184,291.82,717.95,318.68,402.93,1731.38
185,291.82,716.73,318.68,402.93,1730.16
186,291.82,717.95,319.9,402.93,1732.6
187,291.82,717.95,318.68,402.93,1731.38
188,291.82,717.95,318.68,402.93,1731.38
189,291.82,717.95,318.68,402.93,1731.38
190,291.82,717.95,319.9,402.93,1732.6
191,291.82,717.95,319.9,402.93,1732.6
192,291.82,716.73,318.68,401.71,1728.94
193,291.82,716.73,318.68,402.93,1730.16
194,291.82,717.95,318.68,404.15,1732.6
195,291.82,717.95,319.9,402.93,1732.6
196,291.82,716.73,318.68,402.93,1730.16
197,291.82,717.95,319.9,402.93,1732.6
198,291.82,717.95,318.68,402.93,1731.38
199,291.82,717.95,318.68,402.93,1731.38
200,290.6,717.95,318.68,401.71,1728.94
201,290.6,716.73,318.68,402.93,1728.94
202,291.82,717.95,319.9,402.93,1732.6
203,291.82,716.73,319.9,402.93,1731.38
204,291.82,716.73,319.9,402.93,1731.38
205,291.82,717.95,319.9,402.93,1732.6
206,291.82,717.95,318.68,402.93,1731.38
207,291.82,717.95,319.9,402.93,1732.6
208,291.82,717.95,318.68,402.93,1731.38
209,291.82,716.73,318.68,402.93,1730.16
210,291.82,717.95,318.68,402.93,1731.38
211,291.82,716.73,319.9,402.93,1731.38
212,291.82,716.73,318.68,402.93,1730.16
213,291.82,716.73,318.68,402.93,1730.16
214,291.82,717.95,318.68,402.93,1731.38
215,291.82,717.95,318.68,402.93,1731.38
216,291.82,717.95,319.9,402.93,1732.6
217,291.82,717.95,318.68,402.93,1731.38
218,291.82,716.73,318.68,402.93,1730.16
219,291.82,717.95,318.68,402.93,1731.38
220,291.82,717.95,318.68,402.93,1731.38
221,291.82,717.95,319.9,401.71,1731.38
222,290.6,720.39,318.68,401.71,1731.38
223,290.6,719.17,317.46,400.49,1727.72
224,290.6,716.73,318.68,401.71,1727.72
225,290.6,717.95,318.68,401.71,1728.94
226,289.38,719.17,319.9,401.71,1730.16
227,290.6,719.17,318.68,400.49,1728.94
228,290.6,719.17,319.9,401.71,1731.38
229,290.6,717.95,319.9,400.49,1728.94
230,290.6,717.95,318.68,401.71,1728.94
231,290.6,719.17,319.9,401.71,1731.38
232,290.6,719.17,318.68,401.71,1730.16
233,289.38,717.95,318.68,401.71,1727.72
234,289.38,717.95,319.9,401.71,1728.94
235,290.6,717.95,318.68,401.71,1728.94
236,290.6,717.95,319.9,401.71,1730.16
237,290.6,717.95,319.9,401.71,1730.16
238,290.6,717.95,319.9,401.71,1730.16
239,290.6,717.95,318.68,401.71,1728.94
240,290.6,717.95,319.9,401.71,1730.16
241,290.6,717.95,318.68,401.71,1728.94
242,290.6,717.95,318.68,401.71,1728.94
243,290.6,719.17,319.9,401.71,1731.38
244,290.6,717.95,319.9,401.71,1730.16
245,290.6,717.95,319.9,401.71,1730.16
246,289.38,717.95,318.68,401.71,1727.72
247,289.38,717.95,319.9,400.49,1727.72
248,290.6,716.73,319.9,401.71,1728.94
249,290.6,719.17,319.9,401.71,1731.38
250,290.6,717.95,319.9,400.49,1728.94
251,290.6,717.95,319.9,401.71,1730.16
252,290.6,719.17,318.68,401.71,1730.16
253,290.6,717.95,318.68,401.71,1728.94
254,290.6,717.95,318.68,401.71,1728.94
255,290.6,717.95,319.9,401.71,1730.16
256,290.6,719.17,319.9,401.71,1731.38
257,290.6,717.95,318.68,401.71,1728.94
258,290.6,717.95,319.9,401.71,1730.16
259,290.6,717.95,319.9,401.71,1730.16
260,290.6,719.17,318.68,401.71,1730.16
261,290.6,719.17,318.68,401.71,1730.16
262,290.6,717.95,318.68,401.71,1728.94
263,290.6,717.95,318.68,401.71,1728.94
264,290.6,717.95,319.9,401.71,1730.16
265,290.6,717.95,318.68,401.71,1728.94
266,290.6,717.95,318.68,401.71,1728.94
267,290.6,717.95,319.9,401.71,1730.16
268,290.6,717.95,319.9,400.49,1728.94
269,290.6,717.95,318.68,401.71,1728.94
270,290.6,717.95,318.68,400.49,1727.72
271,290.6,717.95,319.9,401.71,1730.16
272,290.6,719.17,318.68,401.71,1730.16
273,289.38,717.95,319.9,401.71,1728.94
274,290.6,717.95,319.9,401.71,1730.16
275,290.6,717.95,319.9,400.49,1728.94
276,290.6,717.95,319.9,401.71,1730.16
277,290.6,717.95,318.68,401.71,1728.94
278,290.6,717.95,319.9,401.71,1730.16
279,289.38,717.95,318.68,401.71,1727.72
280,290.6,717.95,319.9,401.71,1730.16
281,290.6,717.95,319.9,401.71,1730.16
282,289.38,717.95,318.68,401.71,1727.72
283,290.6,717.95,318.68,401.71,1728.94
284,289.38,717.95,319.9,400.49,1727.72
285,290.6,717.95,319.9,401.71,1730.16
286,289.38,717.95,319.9,400.49,1727.72
287,289.38,717.95,319.9,401.71,1728.94
288,289.38,716.73,319.9,401.71,1727.72
289,289.38,717.95,318.68,401.71,1727.72
290,290.6,717.95,319.9,401.71,1730.16
291,290.6,717.95,319.9,401.71,1730.16
292,290.6,717.95,319.9,401.71,1730.16
293,290.6,717.95,318.68,401.71,1728.94
294,289.38,717.95,319.9,401.71,1728.94
295,290.6,717.95,319.9,401.71,1730.16
296,289.38,717.95,319.9,401.71,1728.94
297,289.38,717.95,319.9,401.71,1728.94
298,290.6,717.95,319.9,401.71,1730.16
299,290.6,717.95,319.9,401.71,1730.16
300,290.6,717.95,318.68,401.71,1728.94
301,289.38,717.95,319.9,401.71,1728.94
302,289.38,717.95,319.9,400.49,1727.72
303,289.38,717.95,319.9,400.49,1727.72
304,289.38,719.17,318.68,400.49,1727.72
305,289.38,717.95,319.9,401.71,1728.94
306,290.6,717.95,319.9,400.49,1728.94
307,289.38,717.95,319.9,400.49,1727.72
308,289.38,717.95,319.9,401.71,1728.94
309,289.38,717.95,319.9,400.49,1727.72
310,289.38,717.95,318.68,400.49,1726.5
311,290.6,717.95,319.9,400.49,1728.94
312,290.6,717.95,319.9,401.71,1730.16
313,290.6,717.95,319.9,400.49,1728.94
314,290.6,717.95,318.68,400.49,1727.72
315,289.38,717.95,319.9,401.71,1728.94
316,290.6,719.17,318.68,401.71,1730.16
317,290.6,717.95,319.9,400.49,1728.94
318,290.6,717.95,319.9,401.71,1730.16
319,290.6,717.95,319.9,400.49,1728.94
320,290.6,717.95,319.9,401.71,1730.16
321,290.6,717.95,319.9,401.71,1730.16
322,290.6,717.95,319.9,401.71,1730.16
323,289.38,717.95,319.9,400.49,1727.72
324,290.6,717.95,319.9,401.71,1730.16
325,290.6,719.17,319.9,400.49,1730.16
326,290.6,717.95,319.9,400.49,1728.94
327,290.6,717.95,319.9,401.71,1730.16
328,289.38,717.95,318.68,400.49,1726.5
329,290.6,717.95,319.9,400.49,1728.94
330,289.38,717.95,319.9,400.49,1727.72
331,290.6,717.95,319.9,400.49,1728.94
332,290.6,717.95,319.9,401.71,1730.16
333,290.6,716.73,319.9,400.49,1727.72
334,289.38,717.95,318.68,401.71,1727.72
335,290.6,717.95,319.9,401.71,1730.16
336,289.38,717.95,318.68,400.49,1726.5
337,290.6,717.95,319.9,401.71,1730.16
338,290.6,717.95,318.68,401.71,1728.94
339,290.6,717.95,319.9,400.49,1728.94
340,290.6,717.95,318.68,401.71,1728.94
341,290.6,717.95,318.68,400.49,1727.72
342,290.6,717.95,319.9,401.71,1730.16
343,289.38,717.95,318.68,400.49,1726.5
344,290.6,717.95,319.9,401.71,1730.16
345,289.38,717.95,319.9,400.49,1727.72
346,289.38,719.17,318.68,401.71,1728.94
347,289.38,717.95,318.68,400.49,1726.5
348,290.6,717.95,319.9,401.71,1730.16
349,290.6,717.95,318.68,401.71,1728.94
350,290.6,717.95,318.68,401.71,1728.94
351,289.38,717.95,319.9,400.49,1727.72
352,290.6,717.95,319.9,401.71,1730.16
353,290.6,717.95,319.9,401.71,1730.16
354,290.6,717.95,319.9,401.71,1730.16
355,290.6,717.95,319.9,400.49,1728.94
356,290.6,719.17,319.9,400.49,1730.16
357,290.6,719.17,319.9,400.49,1730.16
358,289.38,717.95,319.9,401.71,1728.94
359,290.6,717.95,319.9,401.71,1730.16
360,290.6,717.95,319.9,401.71,1730.16
361,290.6,717.95,319.9,401.71,1730.16
362,289.38,717.95,319.9,401.71,1728.94
363,290.6,717.95,319.9,404.15,1732.6
364,291.82,715.51,321.12,401.71,1730.16
365,291.82,715.51,319.9,401.71,1728.94
366,293.04,715.51,321.12,400.49,1730.16
367,293.04,715.51,319.9,401.71,1730.16
368,291.82,715.51,319.9,401.71,1728.94
369,293.04,715.51,321.12,401.71,1731.38
370,291.82,715.51,319.9,401.71,1728.94
371,293.04,715.51,319.9,401.71,1730.16
372,293.04,715.51,319.9,401.71,1730.16
373,291.82,715.51,319.9,401.71,1728.94
374,291.82,715.51,319.9,401.71,1728.94
375,291.82,715.51,319.9,400.49,1727.72
376,291.82,715.51,321.12,400.49,1728.94
377,291.82,715.51,319.9,401.71,1728.94
378,291.82,715.51,319.9,401.71,1728.94
379,293.04,715.51,319.9,401.71,1730.16
380,293.04,715.51,319.9,400.49,1728.94
381,293.04,715.51,319.9,400.49,1728.94
382,293.04,715.51,319.9,400.49,1728.94
383,293.04,715.51,319.9,400.49,1728.94
384,293.04,715.51,319.9,400.49,1728.94
385,291.82,715.51,319.9,401.71,1728.94
386,291.82,716.73,319.9,400.49,1728.94
387,291.82,715.51,319.9,401.71,1728.94
388,293.04,715.51,319.9,399.27,1727.72
389,293.04,715.51,321.12,400.49,1730.16
390,293.04,715.51,321.12,399.27,1728.94
391,293.04,716.73,321.12,400.49,1731.38
392,293.04,716.73,321.12,400.49,1731.38
393,291.82,715.51,319.9,400.49,1727.72
394,293.04,715.51,321.12,399.27,1728.94
395,293.04,715.51,319.9,400.49,1728.94
396,293.04,716.73,319.9,400.49,1730.16
397,293.04,716.73,319.9,400.49,1730.16
398,293.04,715.51,319.9,399.27,1727.72
399,291.82,715.51,319.9,400.49,1727.72
400,293.04,715.51,319.9,399.27,1727.72
401,293.04,716.73,319.9,399.27,1728.94
402,293.04,715.51,319.9,400.49,1728.94
403,293.04,715.51,319.9,400.49,1728.94
404,293.04,715.51,321.12,400.49,1730.16
405,293.04,716.73,319.9,400.49,1730.16
406,293.04,715.51,321.12,399.27,1728.94
407,291.82,715.51,319.9,400.49,1727.72
408,293.04,715.51,321.12,400.49,1730.16
409,291.82,716.73,319.9,400.49,1728.94
410,293.04,715.51,319.9,400.49,1728.94
411,291.82,715.51,319.9,399.27,1726.5
412,291.82,715.51,319.9,399.27,1726.5
413,291.82,715.51,319.9,399.27,1726.5
414,291.82,715.51,318.68,399.27,1725.28
415,291.82,716.73,319.9,399.27,1727.72
416,291.82,715.51,319.9,400.49,1727.72
417,291.82,715.51,319.9,400.49,1727.72
418,293.04,715.51,319.9,400.49,1728.94
419,293.04,716.73,319.9,400.49,1730.16
420,291.82,716.73,319.9,399.27,1727.72
421,293.04,715.51,319.9,400.49,1728.94
422,291.82,715.51,319.9,400.49,1727.72
423,293.04,715.51,319.9,400.49,1728.94
424,293.04,715.51,319.9,400.49,1728.94
425,291.82,715.51,319.9,400.49,1727.72
426,293.04,715.51,319.9,400.49,1728.94
427,291.82,715.51,318.68,400.49,1726.5
428,293.04,715.51,319.9,399.27,1727.72
429,293.04,715.51,319.9,400.49,1728.94
430,291.82,715.51,318.68,400.49,1726.5
431,291.82,716.73,319.9,399.27,1727.72
432,291.82,716.73,319.9,400.49,1728.94
433,293.04,716.73,319.9,400.49,1730.16
434,293.04,716.73,319.9,400.49,1730.16
435,291.82,715.51,319.9,400.49,1727.72
436,293.04,715.51,319.9,400.49,1728.94
437,293.04,716.73,319.9,400.49,1730.16
438,293.04,715.51,319.9,400.49,1728.94
439,293.04,715.51,318.68,400.49,1727.72
440,293.04,715.51,318.68,400.49,1727.72
441,293.04,716.73,318.68,400.49,1728.94
442,293.04,715.51,318.68,399.27,1726.5
443,294.26,716.73,319.9,399.27,1730.16
444,293.04,715.51,319.9,399.27,1727.72
445,293.04,715.51,319.9,399.27,1727.72
446,293.04,715.51,319.9,400.49,1728.94
447,293.04,716.73,319.9,399.27,1728.94
448,291.82,715.51,318.68,400.49,1726.5
449,293.04,715.51,319.9,400.49,1728.94
450,293.04,715.51,319.9,399.27,1727.72
451,293.04,715.51,319.9,399.27,1727.72
452,291.82,716.73,319.9,399.27,1727.72
453,293.04,716.73,318.68,399.27,1727.72
454,291.82,716.73,318.68,399.27,1726.5
455,291.82,715.51,319.9,400.49,1727.72
456,291.82,715.51,319.9,399.27,1726.5
457,293.04,715.51,319.9,400.49,1728.94
458,291.82,716.73,319.9,399.27,1727.72
459,293.04,715.51,319.9,400.49,1728.94
460,293.04,716.73,319.9,399.27,1728.94
461,291.82,715.51,318.68,400.49,1726.5
462,293.04,717.95,319.9,396.83,1727.72
463,291.82,717.95,319.9,399.27,1728.94
464,291.82,717.95,321.12,399.27,1730.16
465,291.82,717.95,319.9,399.27,1728.94
466,293.04,717.95,319.9,399.27,1730.16
467,293.04,717.95,321.12,399.27,1731.38
468,291.82,717.95,319.9,399.27,1728.94
469,291.82,716.73,319.9,399.27,1727.72
470,291.82,717.95,319.9,399.27,1728.94
471,291.82,717.95,319.9,399.27,1728.94
472,293.04,714.29,318.68,402.93,1728.94
473,293.04,714.29,318.68,401.71,1727.72
474,293.04,715.51,319.9,399.27,1727.72
475,291.82,719.17,321.12,398.05,1730.16
476,291.82,717.95,319.9,400.49,1730.16
477,294.26,714.29,317.46,401.71,1727.72
478,293.04,715.51,319.9,400.49,1728.94
479,293.04,715.51,319.9,400.49,1728.94
480,291.82,715.51,318.68,400.49,1726.5
481,293.04,715.51,319.9,401.71,1730.16
482,291.82,715.51,319.9,400.49,1727.72
483,293.04,715.51,319.9,399.27,1727.72
484,293.04,715.51,318.68,400.49,1727.72
485,293.04,716.73,319.9,400.49,1730.16
486,293.04,715.51,319.9,400.49,1728.94
487,293.04,716.73,319.9,400.49,1730.16
488,293.04,715.51,319.9,399.27,1727.72
489,294.26,715.51,319.9,400.49,1730.16
490,294.26,715.51,319.9,399.27,1728.94
491,293.04,715.51,319.9,400.49,1728.94
492,293.04,715.51,319.9,400.49,1728.94
493,293.04,716.73,319.9,400.49,1730.16
494,293.04,715.51,319.9,399.27,1727.72
495,291.82,715.51,319.9,400.49,1727.72
496,293.04,715.51,321.12,399.27,1728.94
497,291.82,715.51,319.9,400.49,1727.72
498,291.82,715.51,319.9,400.49,1727.72
499,291.82,716.73,321.12,400.49,1730.16
500,293.04,715.51,319.9,400.49,1728.94
501,291.82,715.51,319.9,399.27,1726.5
502,291.82,715.51,319.9,399.27,1726.5
503,291.82,716.73,318.68,400.49,1727.72
504,296.7,715.51,319.9,399.27,1731.38
505,291.82,716.73,319.9,398.05,1726.5
506,291.82,716.73,323.57,400.49,1732.61
507,291.82,715.51,321.12,400.49,1728.94
508,295.48,716.73,321.12,401.71,1735.04
509,291.82,715.51,321.12,399.27,1727.72
510,291.82,715.51,321.12,400.49,1728.94
511,296.7,715.51,321.12,400.49,1733.82
512,290.6,725.27,322.34,400.49,1738.7
513,288.16,710.62,322.34,404.15,1725.27
514,294.26,715.51,328.45,404.15,1742.37
515,295.48,715.51,319.9,401.71,1732.6
516,293.04,714.29,321.12,402.93,1731.38
517,296.7,724.05,318.68,401.71,1741.14
518,294.26,714.29,319.9,401.71,1730.16
519,294.26,713.06,317.46,406.59,1731.37
520,294.26,711.84,316.24,401.71,1724.05
521,293.04,711.84,318.68,401.71,1725.27
522,291.82,713.06,318.68,401.71,1725.27
523,291.82,713.06,318.68,401.71,1725.27
524,293.04,713.06,317.46,401.71,1725.27
525,293.04,713.06,318.68,401.71,1726.49
526,293.04,713.06,318.68,401.71,1726.49
527,294.26,714.29,318.68,401.71,1728.94
528,295.48,713.06,318.68,401.71,1728.93
529,291.82,714.29,318.68,400.49,1725.28
530,291.82,713.06,318.68,400.49,1724.05
531,293.04,714.29,317.46,400.49,1725.28
532,293.04,713.06,318.68,400.49,1725.27
533,293.04,714.29,318.68,400.49,1726.5
534,293.04,714.29,318.68,400.49,1726.5
535,295.48,714.29,317.46,401.71,1728.94
536,293.04,713.06,318.68,399.27,1724.05
537,291.82,713.06,319.9,404.15,1728.93
538,294.26,726.5,333.33,406.59,1760.68
539,296.7,714.29,329.67,400.49,1741.15
540,296.7,709.4,317.46,406.59,1730.15
541,299.15,716.73,317.46,402.93,1736.27
542,296.7,715.51,319.9,400.49,1732.6
543,295.48,715.51,318.68,398.05,1727.72
544,291.82,716.73,323.57,401.71,1733.83
545,294.26,717.95,326.01,404.15,1742.37
546,293.04,714.29,318.68,399.27,1725.28
547,294.26,714.29,318.68,400.49,1727.72
548,295.48,709.4,308.91,404.15,1717.94
549,293.04,719.17,326.01,389.5,1727.72
550,291.82,715.51,321.12,399.27,1727.72
551,293.04,714.29,318.68,399.27,1725.28
552,291.82,714.29,319.9,399.27,1725.28
553,291.82,714.29,318.68,399.27,1724.06
554,291.82,714.29,318.68,399.27,1724.06
555,291.82,714.29,319.9,400.49,1726.5
556,291.82,715.51,319.9,399.27,1726.5
557,291.82,714.29,319.9,399.27,1725.28
558,291.82,714.29,318.68,399.27,1724.06
559,291.82,715.51,318.68,399.27,1725.28
560,291.82,715.51,318.68,399.27,1725.28
561,291.82,715.51,318.68,399.27,1725.28
562,291.82,714.29,318.68,399.27,1724.06
563,291.82,714.29,319.9,399.27,1725.28
564,291.82,714.29,318.68,400.49,1725.28
565,290.6,714.29,319.9,399.27,1724.06
566,291.82,713.06,318.68,399.27,1722.83
567,290.6,714.29,319.9,399.27,1724.06
568,291.82,714.29,319.9,400.49,1726.5
569,291.82,714.29,319.9,400.49,1726.5
570,291.82,714.29,319.9,400.49,1726.5
571,291.82,713.06,319.9,399.27,1724.05
572,291.82,714.29,319.9,398.05,1724.06
573,291.82,714.29,321.12,399.27,1726.5
574,291.82,714.29,321.12,399.27,1726.5
575,290.6,714.29,319.9,399.27,1724.06
576,291.82,713.06,318.68,399.27,1722.83
577,291.82,714.29,319.9,399.27,1725.28
578,291.82,714.29,319.9,399.27,1725.28
579,290.6,714.29,319.9,399.27,1724.06
580,290.6,713.06,319.9,399.27,1722.83
581,290.6,714.29,321.12,399.27,1725.28
582,291.82,714.29,319.9,399.27,1725.28
583,291.82,714.29,321.12,399.27,1726.5
584,291.82,714.29,319.9,399.27,1725.28
585,291.82,713.06,319.9,399.27,1724.05
586,291.82,714.29,319.9,399.27,1725.28
587,290.6,714.29,319.9,399.27,1724.06
588,291.82,714.29,319.9,399.27,1725.28
589,290.6,714.29,319.9,399.27,1724.06
590,291.82,714.29,319.9,399.27,1725.28
591,290.6,714.29,319.9,399.27,1724.06
592,291.82,714.29,319.9,399.27,1725.28
593,290.6,714.29,319.9,399.27,1724.06
594,290.6,713.06,318.68,399.27,1721.61
595,291.82,714.29,318.68,399.27,1724.06
596,291.82,713.06,318.68,399.27,1722.83
597,290.6,713.06,319.9,399.27,1722.83
598,291.82,714.29,318.68,399.27,1724.06
599,290.6,714.29,319.9,399.27,1724.06
600,291.82,714.29,319.9,399.27,1725.28
601,291.82,714.29,319.9,399.27,1725.28
